?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0000794>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spritzgießmaschine"@de	
<https://w3id.org/pmd/co/PMD_0050116>	<http://www.w3.org/2000/01/rdf-schema#label>	"germanate glass"@en	
<https://w3id.org/pmd/co/PMD_0000874>	<http://www.w3.org/2000/01/rdf-schema#label>	"optical microscope"@en	
<https://w3id.org/pmd/co/PMD_0000874>	<http://www.w3.org/2000/01/rdf-schema#label>	"Optisches Mikroskop"@de	
<https://w3id.org/pmd/co/PMD_0020003>	<http://www.w3.org/2000/01/rdf-schema#label>	"crystal"@en	
<https://w3id.org/pmd/co/PMD_0000563>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichten"@de	
<https://w3id.org/pmd/co/PMD_0000563>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating"@en	
<https://w3id.org/pmd/co/PMD_0001025>	<http://www.w3.org/2000/01/rdf-schema#label>	"assay"@en	
<https://w3id.org/pmd/co/PMD_0001025>	<http://www.w3.org/2000/01/rdf-schema#label>	"Analyse"@de	
<https://w3id.org/pmd/co/PMD_0000598>	<http://www.w3.org/2000/01/rdf-schema#label>	"department"@en	
<https://w3id.org/pmd/co/PMD_0000598>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abteilung"@de	
<https://w3id.org/pmd/co/PMD_0000914>	<http://www.w3.org/2000/01/rdf-schema#label>	"removing"@en	
<https://w3id.org/pmd/co/PMD_0000914>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abtragen"@de	
<https://w3id.org/pmd/co/PMD_0050140>	<http://www.w3.org/2000/01/rdf-schema#label>	"nonlinear optical glass"@en	
<https://w3id.org/pmd/co/PMD_0020088>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of tin"@en	
<https://w3id.org/pmd/co/PMD_0000906>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping from the liquid state"@en	
<https://w3id.org/pmd/co/PMD_0000906>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Aus Dem Flüssigen Zustand"@de	
<https://w3id.org/pmd/co/PMD_0050102>	<http://www.w3.org/2000/01/rdf-schema#label>	"soda-lime glass"@en	
<https://w3id.org/pmd/co/PMD_0050097>	<http://www.w3.org/2000/01/rdf-schema#label>	"bioglass"@en	
<http://purl.obolibrary.org/obo/CHEBI_194537>	<http://www.w3.org/2000/01/rdf-schema#label>	"livermorium atom"	
<https://w3id.org/pmd/co/PMD_0001017>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray mapping"@en	
<https://w3id.org/pmd/co/PMD_0001017>	<http://www.w3.org/2000/01/rdf-schema#label>	"Röntgen-Mapping"@de	
<https://w3id.org/pmd/co/PMD_0001003>	<http://www.w3.org/2000/01/rdf-schema#label>	"unsupervised machine learning"@en	
<https://w3id.org/pmd/co/PMD_0001003>	<http://www.w3.org/2000/01/rdf-schema#label>	"Unsupervised Learning"@de	
<https://w3id.org/pmd/co/PMD_0000529>	<http://www.w3.org/2000/01/rdf-schema#label>	"bending testing machine"@en	
<https://w3id.org/pmd/co/PMD_0000529>	<http://www.w3.org/2000/01/rdf-schema#label>	"Biegeversuchmaschine"@de	
<http://purl.obolibrary.org/obo/BFO_0000142>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat line"@en	
